product_id,product_name,category_reclassified,rating,price_whole,per_count_price,mrp,number_of_global_ratings,number_of_reviews,sales_numeric,discount_percentage_cleaned,product_weight_grams,review_text_cleaned,sentiment
1,Haldirams Gulab Jamun  Rasgulla Combo Pack 1 Kg Tin X 2 Pcs,Gift Hampers,4.1,450,20,450,6489,4267,100,0,750,"I loved the product. It's soft and yummy. Haldiram by it's name is a great brand, but this product i tried for the first time but it was just awesome. I recommend you all to go for it.",positive
2,"Haldirams Delhi Nut Cracker, 400g",Spicy Snacks,4.2,108,27,110,7057,3617,50,2,500,Good taste,positive
3,Haldirams Nagpur Soan Cake 400gm Pack of 2,Combo Packs,4,300,37.5,300,1261,3697,25,0,1000,Nice and fluffy,positive
4,Haldirams Dodha Burfi 400g x 2  Fresh Indian Traditional Mithai  Diary- Based Dessert  Finest Cashews  Almonds  Indian Sweets  No Added Colours or Preservatives  Festive Sweet Gift Box,Gift Hampers,0,710,88.75,1118,2349,709,25,36,750,Loved the taste and freshness,positive
5,"Haldirams Nagpur Haldirams Fancy Dry Fruits Gift Box Ww,200 Gm",Gift Hampers,4.1,344,425,425,7355,3884,25,19,500,Loved the taste and freshness,positive
6,Haldirams Nagpur All in One Pack of 3,Combo Packs,4,150,25,500,1721,695,25,70,1000,Taste fresh and good,positive
7,Haldirams Dry Fruit Kachori 500g x 2  Indian Snacks  Crispy Sweet Spicy Tangy Treat  Namkeen  Savouries  Kachori Snacks  Tasty Crispy  Crunchy  Perfect Choice for Party,Sweets & Desserts,0,629,62.9,716,6957,4881,25,12,500,Loved the taste and freshness,positive
8,"Haldirams Panchrattan, 400g",Savory & Savory_Snacks,4.5,195,48.75,195,2883,2042,0,0,200,Tasty ....better than others in this range and quality is also top notch,positive
9,Haldirams Combo of Motichoor Ladoo  Coconut Dry Fruit Ladoo 400g x 2  Nariyal ke Laddu  Fresh Indian Traditional Mithai  Dry Fruit Ladoo  Indian Mithai  Laddu Sweets  Festive Sweet Gift Box,Gift Hampers,3.3,938,938,1266,3797,1987,25,26,1000,I recently order a combo pack of haldiram motichur laddu (1 box) and dry fruit laddu (1 box) under single order as 899 INR. But when the order is delivered then we received only 1box of motichoor laddu and the order was showing as delivered.I feel cheated :(,negative
10,"Haldirams Nagpur Dry Fruit Mixture, 150g200g",Namkeen,4.2,100,50,100,6215,2162,0,0,1000,Delicious tasty with dry fruits,positive
11,"Haldirams Nagpur Bhujia Sev, 200g",Namkeen,4.4,60,30,60,4103,4675,0,0,1000,Good snck,positive
12,Haldirams Nagpur Mathura peda Pack of 4-250 gm Each,Combo Packs,4.1,500,100,728,8996,1766,25,31,1000,Loved the taste and freshness,positive
